0,1,2,3,4,5
0.2853,0.1729,0.1897,0.1331,0.2189,8.0
0.0124,0.0411,0.1246,0.4836,0.3383,8.0
0.7331,0.1266,0.0451,0.0299,0.0652,9.0
0.0024,0.006,0.0573,0.4804,0.4538,9.0
0.0009,0.0014,0.0045,0.089,0.9042,10.0
0.0013,0.0068,0.0434,0.596,0.3525,10.0
0.0112,0.2025,0.6112,0.1693,0.0059,8.0
0.0014,0.0028,0.0247,0.333,0.6381,8.0
0.001,0.0008,0.0061,0.1116,0.8804,9.0
0.0036,0.0072,0.0298,0.3075,0.6518,10.0
0.0104,0.191,0.6796,0.116,0.0031,6.0
0.0065,0.0297,0.1006,0.5966,0.2666,9.0
0.2666,0.3584,0.1601,0.1333,0.0815,8.0
0.207,0.4911,0.2032,0.0808,0.0179,2.0
0.0019,0.0049,0.1133,0.6307,0.2492,9.0
0.0108,0.0138,0.029,0.2862,0.6602,9.0
0.0237,0.0555,0.1014,0.3816,0.4378,8.0
0.2847,0.3528,0.1632,0.1318,0.0675,10.0
0.0123,0.0391,0.2291,0.6033,0.1163,8.0
0.0147,0.0519,0.1857,0.4836,0.2642,9.0
0.0079,0.0519,0.3124,0.5449,0.0828,8.0
0.0407,0.0328,0.0598,0.1965,0.6702,1.0
0.0064,0.007,0.0152,0.1784,0.793,9.0
0.0041,0.0067,0.0273,0.3501,0.6117,9.0
0.0283,0.1754,0.3055,0.3909,0.0999,8.0
0.1094,0.2202,0.2143,0.2712,0.1849,8.0
0.0124,0.061,0.2119,0.5147,0.2,10.0
0.0007,0.0009,0.0045,0.0747,0.9191,9.0
0.0113,0.0712,0.237,0.4793,0.2012,8.0
0.0035,0.0108,0.0354,0.3018,0.6485,10.0
0.0084,0.0479,0.2585,0.5193,0.1659,7.0
0.0106,0.0214,0.0463,0.2308,0.691,10.0
0.1535,0.5724,0.2512,0.0207,0.0022,8.0
0.0071,0.0982,0.5155,0.361,0.0182,8.0
0.0025,0.0026,0.0088,0.1028,0.8832,10.0
0.1593,0.5354,0.2857,0.0178,0.0019,6.0
0.0023,0.0057,0.1248,0.6695,0.1977,8.0
0.0048,0.0152,0.1214,0.5576,0.301,10.0
0.0401,0.1115,0.322,0.4202,0.1063,9.0
0.0103,0.0352,0.1689,0.5481,0.2376,8.0
0.0051,0.0174,0.271,0.5961,0.1105,8.0
0.0017,0.0038,0.0219,0.3087,0.6639,10.0
0.0081,0.0424,0.3131,0.549,0.0874,10.0
0.2096,0.2787,0.1919,0.2063,0.1136,9.0
0.2446,0.3311,0.3142,0.0835,0.0265,9.0
0.166,0.4017,0.2409,0.1266,0.0648,9.0
0.0109,0.007,0.0073,0.0329,0.9419,9.0
